[2026-06-25T22:43:08.377496] S4C | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:08.377985] M&C | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:08.378075] TRMR | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:11.463445] PUBM | sufijo: — | ok (raw)
[2026-06-25T22:43:11.486777] MGNI | sufijo: — | ok (raw)
[2026-06-25T22:43:11.529467] ZETA | sufijo: — | ok (raw)
[2026-06-25T22:43:11.537056] APPS | sufijo: — | ok (raw)
[2026-06-25T22:43:11.537942] SECG | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:11.598820] CRTO | sufijo: — | ok (raw)
[2026-06-25T22:43:11.649864] 030000.KS | sufijo: — | ok (raw)
[2026-06-25T22:43:11.649986] NLSN | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:11.723641] WPP | sufijo: — | ok (raw)
[2026-06-25T22:43:11.740997] PUB.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:11.768755] NEXN | sufijo: — | ok (raw)
[2026-06-25T22:43:11.862896] TTD | sufijo: — | ok (raw)
[2026-06-25T22:43:11.896335] STGW | sufijo: — | ok (raw)
[2026-06-25T22:43:11.942219] OMC | sufijo: — | ok (raw)
[2026-06-25T22:43:12.183743] 4324.T | sufijo: — | ok (raw)
[2026-06-25T22:43:12.196344] IPG.AX | sufijo: — | ok (raw)
[2026-06-25T22:43:12.274080] 2433.T | sufijo: — | ok (raw)
[2026-06-25T22:43:13.166450] IAS | sufijo: — | ok (raw)
[2026-06-25T22:43:13.207801] DV | sufijo: — | ok (raw)
[2026-06-25T22:43:13.219089] YOU.L | sufijo: — | ok (raw)
[2026-06-25T22:43:13.292223] NFG.L | sufijo: — | ok (raw)
[2026-06-25T22:43:13.368153] IPS.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:13.383185] IT | sufijo: — | ok (raw)
[2026-06-25T22:43:13.463534] SCOR | sufijo: — | ok (raw)
[2026-06-25T22:43:13.463678] PUBL | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:13.640177] SMWB | sufijo: — | ok (raw)
[2026-06-25T22:43:13.668884] FORR | sufijo: — | ok (raw)
[2026-06-25T22:43:13.668998] MWTR | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:13.713188] EXPN.L | sufijo: — | ok (raw)
[2026-06-25T22:43:13.866122] EFX | sufijo: — | ok (raw)
[2026-06-25T22:43:13.878196] TRU | sufijo: — | ok (raw)
[2026-06-25T22:43:13.975461] RELX | sufijo: — | ok (raw)
[2026-06-25T22:43:14.014662] LAMR | sufijo: — | ok (raw)
[2026-06-25T22:43:14.344835] OUT | sufijo: — | ok (raw)
[2026-06-25T22:43:14.854529] DEC | sufijo: — | ok (raw)
[2026-06-25T22:43:14.915280] OML.AX | sufijo: — | ok (raw)
[2026-06-25T22:43:14.915404] ERJ | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:15.047520] CCO | sufijo: — | ok (raw)
[2026-06-25T22:43:15.047664] BBD.B | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:15.370451] SAX.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:15.371980] IZEA | sufijo: — | ok (raw)
[2026-06-25T22:43:15.396150] 002027.SZ | sufijo: — | ok (raw)
[2026-06-25T22:43:15.558390] ADBE | sufijo: — | ok (raw)
[2026-06-25T22:43:15.704150] APGN.SW | sufijo: — | ok (raw)
[2026-06-25T22:43:15.764822] SPT | sufijo: — | ok (raw)
[2026-06-25T22:43:15.764986] WIX | sufijo: — | ok (raw)
[2026-06-25T22:43:15.765553] MHI | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:15.791028] META | sufijo: — | ok (raw)
[2026-06-25T22:43:15.811408] SNAP | sufijo: — | ok (raw)
[2026-06-25T22:43:15.811506] BA. | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:15.938847] HUBS | sufijo: — | ok (raw)
[2026-06-25T22:43:16.038169] PINS | sufijo: — | ok (raw)
[2026-06-25T22:43:16.560210] TXT.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:16.738273] AIR.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:16.783467] 000768.SZ | sufijo: — | ok (raw)
[2026-06-25T22:43:17.009951] AM.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:17.010078] ESLT | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:17.105325] GD | sufijo: — | ok (raw)
[2026-06-25T22:43:17.417725] EADSY | sufijo: — | ok (raw)
[2026-06-25T22:43:17.455305] LMT | sufijo: — | ok (raw)
[2026-06-25T22:43:17.614512] LHX | sufijo: — | ok (raw)
[2026-06-25T22:43:17.833659] SAFRY | sufijo: — | ok (raw)
[2026-06-25T22:43:17.929586] RTX.TO | sufijo: — | ok (raw)
[2026-06-25T22:43:17.974843] LDO.MI | sufijo: — | ok (raw)
[2026-06-25T22:43:18.020155] HON.TO | sufijo: — | ok (raw)
[2026-06-25T22:43:18.033076] HO.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:18.087140] NOC | sufijo: .DE | ok
[2026-06-25T22:43:18.448111] RHM.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:18.811055] HII | sufijo: — | ok (raw)
[2026-06-25T22:43:18.842852] HAG.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:18.842961] MOG.A | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:19.091142] KTOS | sufijo: — | ok (raw)
[2026-06-25T22:43:19.112639] TDG | sufijo: — | ok (raw)
[2026-06-25T22:43:19.169968] HWM | sufijo: — | ok (raw)
[2026-06-25T22:43:19.640102] SAF.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:19.917880] MRO.L | sufijo: — | ok (raw)
[2026-06-25T22:43:19.927965] SNR.L | sufijo: — | ok (raw)
[2026-06-25T22:43:20.018374] ATI | sufijo: — | ok (raw)
[2026-06-25T22:43:20.045007] MTX.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:20.054460] HEI | sufijo: — | ok (raw)
[2026-06-25T22:43:21.306827] KAI | sufijo: — | ok (raw)
[2026-06-25T22:43:21.326890] IRDM | sufijo: — | ok (raw)
[2026-06-25T22:43:21.343999] HXL | sufijo: — | ok (raw)
[2026-06-25T22:43:21.382439] RKLB | sufijo: — | ok (raw)
[2026-06-25T22:43:21.430660] CW | sufijo: — | ok (raw)
[2026-06-25T22:43:21.520238] SPR.L | sufijo: — | ok (raw)
[2026-06-25T22:43:21.782485] BA.L | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:43:22.246020] VSAT | sufijo: — | ok (raw)
[2026-06-25T22:43:22.413745] SESG.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:22.869906] LUNR | sufijo: — | ok (raw)
[2026-06-25T22:43:22.888922] RDW | sufijo: — | ok (raw)
[2026-06-25T22:43:22.908791] ETL.L | sufijo: — | ok (raw)
[2026-06-25T22:43:22.908899] ATSG | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:23.091560] MDA | sufijo: — | ok (raw)
[2026-06-25T22:43:23.566472] BKSY | sufijo: — | ok (raw)
[2026-06-25T22:43:23.589123] SATL | sufijo: — | ok (raw)
[2026-06-25T22:43:23.621825] PL | sufijo: — | ok (raw)
[2026-06-25T22:43:23.652721] ASTS | sufijo: — | ok (raw)
